1	116	76	40
2	875	219	656
3	129	59	70
4	661	498	163
5	708	441	267
6	36	36	0
7	102	72	30
8	242	71	171
9	993	907	86
10	806	242	564
11	831	45	786
12	85	57	28
13	480	217	263
14	591	122	469
15	838	450	388
16	935	492	443
17	529	388	141
18	492	361	131
19	870	88	782
20	86	32	54
21	369	357	12
22	106	54	52
23	62	46	16
24	235	52	183
25	450	217	233
26	652	137	515
27	250	28	222
28	226	138	88
29	343	215	128
30	222	98	124
31	836	331	505
32	70	23	47
33	258	59	199
34	648	317	331
35	615	590	25
36	251	67	184
37	635	92	543
38	639	385	254
39	946	496	450
40	373	269	104
41	908	907	1
42	169	163	6
43	208	82	126
44	863	823	40
45	618	551	67
46	397	147	250
47	272	92	180
48	783	630	153
49	161	70	91
50	690	107	583
51	708	638	70
52	752	141	611
53	245	25	220
54	156	145	11
55	892	259	633
56	997	290	707
57	111	94	17
58	890	608	282
59	394	253	141
60	442	256	186
61	262	251	11
62	709	156	553
63	547	206	341
64	555	487	68
65	61	36	25
66	677	107	570
67	500	322	178
68	965	111	854
69	536	184	352
70	903	671	232
71	715	49	666
72	866	681	185
73	900	115	785
74	77	56	21
75	458	35	423
76	455	45	410
77	611	366	245
78	791	53	738
79	611	225	386
80	194	100	94
81	885	752	133
82	739	679	60
83	415	195	220
84	636	105	531
85	737	181	556
86	699	373	326
87	148	36	112
88	259	55	204
89	893	677	216
90	493	231	262
91	65	38	27
92	969	254	715
93	271	70	201
94	957	692	265
95	202	128	74
96	87	56	31
97	917	109	808
98	993	760	233
99	223	75	148
100	879	177	702
